trial_id,random_state,dataset_fraction,dataset_rows,aggregate,method,exact_result,estimated_result,relative_error,time_seconds,sample_fraction,sample_size,confidence_interval_lower,confidence_interval_upper,relative_error_estimate
4,146,0.1,1000,COUNT,Stratified Sampling,1000.0,1000.0,0.0,0.0021204999998190033,0.1,98,,,
4,146,0.1,1000,COUNT,Adaptive Sampling,1000.0,1000.0,0.0,0.0002260999999634805,0.05,50,1000.0,1000.0,0.0
4,146,0.1,1000,SUM,Exact Query,399214.2,399214.2,0.0,2.7999999929306796e-05,1.0,1000,399214.2,399214.2,0.0
4,146,0.1,1000,SUM,Uniform Sampling,399214.2,372108.39999999997,0.06789788539586028,0.0003167999998368032,0.1,100,,,
4,146,0.1,1000,SUM,Stratified Sampling,399214.2,391635.29478715727,0.018984558196684244,0.0022226999999475083,0.1,98,,,
4,146,0.1,1000,SUM,Adaptive Sampling,399214.2,409319.3,0.025312476359808784,0.002214099999946484,0.39999999999999997,400,370080.3803287513,448558.2196712487,0.09586383947995777
4,146,0.1,1000,AVG,Exact Query,399.2142,399.2142,0.0,2.389999963270384e-05,1.0,1000,399.2142,399.2142,0.0
4,146,0.1,1000,AVG,Uniform Sampling,399.2142,372.10839999999996,0.06789788539586028,0.00021329999981389847,0.1,100,,,
4,146,0.1,1000,AVG,Stratified Sampling,399.2142,391.63529478715725,0.018984558196684275,0.002100300000165589,0.1,98,,,
4,146,0.1,1000,AVG,Adaptive Sampling,399.2142,409.3193,0.025312476359808826,0.0022036000000298372,0.39999999999999997,400,370.0803803287513,448.5582196712487,0.09586383947995777
5,147,0.1,1000,COUNT,Exact Query,1000.0,1000.0,0.0,3.0200000310287578e-05,1.0,1000,1000.0,1000.0,0.0
5,147,0.1,1000,COUNT,Uniform Sampling,1000.0,1000.0,0.0,0.0002365000000281725,0.1,100,,,
5,147,0.1,1000,COUNT,Stratified Sampling,1000.0,1000.0,0.0,0.0020731999998133688,0.1,98,,,
5,147,0.1,1000,COUNT,Adaptive Sampling,1000.0,1000.0,0.0,0.00023160000000643777,0.05,50,1000.0,1000.0,0.0
5,147,0.1,1000,SUM,Exact Query,421250.99,421250.99,0.0,2.9299999823706457e-05,1.0,1000,421250.99,421250.99,0.0
5,147,0.1,1000,SUM,Uniform Sampling,421250.99,421922.69999999995,0.0015945600507667954,0.00021259999994072132,0.1,100,,,
5,147,0.1,1000,SUM,Stratified Sampling,421250.99,431620.9755968194,0.024617118637084823,0.002108199999838689,0.1,98,,,
5,147,0.1,1000,SUM,Adaptive Sampling,421250.99,402266.6,0.045066695273523305,0.0019735000000764558,0.35,350,364670.40638585144,439862.7936141485,0.09346088791400663
5,147,0.1,1000,AVG,Exact Query,421.25099,421.25099,0.0,2.5400000140507473e-05,1.0,1000,421.25099,421.25099,0.0
5,147,0.1,1000,AVG,Uniform Sampling,421.25099,421.92269999999996,0.001594560050766793,0.0002082999999402091,0.1,100,,,
5,147,0.1,1000,AVG,Stratified Sampling,421.25099,431.6209755968194,0.024617118637084722,0.0023808000000826723,0.1,98,,,
5,147,0.1,1000,AVG,Adaptive Sampling,421.25099,402.2666,0.04506669527352332,0.0022164000001794193,0.35,350,364.67040638585144,439.86279361414853,0.09346088791400661
6,148,0.1,1000,COUNT,Exact Query,1000.0,1000.0,0.0,2.9199999971751822e-05,1.0,1000,1000.0,1000.0,0.0
6,148,0.1,1000,COUNT,Uniform Sampling,1000.0,1000.0,0.0,0.00023639999972147052,0.1,100,,,
6,148,0.1,1000,COUNT,Stratified Sampling,1000.0,1000.0,0.0,0.0022340999998959887,0.1,98,,,
